sweep_type,floor_friction,body_friction,amp_z,amp_y,frequency,gait,v_sim_mpm,v_real_mpm,abs_err_pct,gap_pct
isotropic,0.2,0.2,0.4,0.4,2.5,S,0.8916,0.93,4.13,4.13
isotropic,0.2,0.2,0.4,0.4,3.0,S,0.5622,0.7,19.69,19.69
isotropic,0.2,0.2,0.4,0.6,3.0,S,0.6522,1.46,55.33,55.33
isotropic,0.2,0.2,0.6,0.4,3.0,S,1.0968,0.65,68.74,-68.74
isotropic,0.2,0.2,0.6,0.6,3.0,S,0.7008,1.6,56.2,56.2
isotropic,0.2,0.2,0.4,0.0,2.0,C,0.8478,0.62,36.74,-36.74
isotropic,0.2,0.2,0.4,0.0,2.5,C,1.0602,0.72,47.25,-47.25
isotropic,0.2,0.2,0.4,0.0,3.0,C,0.3828,0.27,41.78,-41.78
isotropic,0.2,0.2,0.6,0.0,2.0,C,0.8514,0.47,81.15,-81.15
isotropic,0.2,0.2,0.6,0.0,2.5,C,0.9192,1.42,35.27,35.27
isotropic,0.2,0.2,0.6,0.0,3.0,C,0.8088,0.97,16.62,16.62
floor_only,0.2,0.3,0.4,0.4,2.5,S,0.8442,0.93,9.23,9.23
floor_only,0.2,0.3,0.4,0.4,3.0,S,0.5268,0.7,24.74,24.74
floor_only,0.2,0.3,0.4,0.6,3.0,S,0.7194,1.46,50.73,50.73
floor_only,0.2,0.3,0.6,0.4,3.0,S,1.1886,0.65,82.86,-82.86
floor_only,0.2,0.3,0.6,0.6,3.0,S,0.8874,1.6,44.54,44.54
floor_only,0.2,0.3,0.4,0.0,2.0,C,0.8598,0.62,38.68,-38.68
floor_only,0.2,0.3,0.4,0.0,2.5,C,1.0992,0.72,52.67,-52.67
floor_only,0.2,0.3,0.4,0.0,3.0,C,0.3726,0.27,38.0,-38.0
floor_only,0.2,0.3,0.6,0.0,2.0,C,0.8784,0.47,86.89,-86.89
floor_only,0.2,0.3,0.6,0.0,2.5,C,0.9078,1.42,36.07,36.07
floor_only,0.2,0.3,0.6,0.0,3.0,C,0.7842,0.97,19.15,19.15
isotropic,0.3,0.3,0.4,0.4,2.5,S,0.8442,0.93,9.23,9.23
isotropic,0.3,0.3,0.4,0.4,3.0,S,0.5268,0.7,24.74,24.74
isotropic,0.3,0.3,0.4,0.6,3.0,S,0.7194,1.46,50.73,50.73
isotropic,0.3,0.3,0.6,0.4,3.0,S,1.1886,0.65,82.86,-82.86
isotropic,0.3,0.3,0.6,0.6,3.0,S,0.8874,1.6,44.54,44.54
isotropic,0.3,0.3,0.4,0.0,2.0,C,0.8598,0.62,38.68,-38.68
isotropic,0.3,0.3,0.4,0.0,2.5,C,1.0992,0.72,52.67,-52.67
isotropic,0.3,0.3,0.4,0.0,3.0,C,0.3726,0.27,38.0,-38.0
isotropic,0.3,0.3,0.6,0.0,2.0,C,0.8784,0.47,86.89,-86.89
isotropic,0.3,0.3,0.6,0.0,2.5,C,0.9078,1.42,36.07,36.07
isotropic,0.3,0.3,0.6,0.0,3.0,C,0.7842,0.97,19.15,19.15
floor_only,0.3,0.3,0.4,0.4,2.5,S,0.8442,0.93,9.23,9.23
floor_only,0.3,0.3,0.4,0.4,3.0,S,0.5268,0.7,24.74,24.74
floor_only,0.3,0.3,0.4,0.6,3.0,S,0.7194,1.46,50.73,50.73
floor_only,0.3,0.3,0.6,0.4,3.0,S,1.1886,0.65,82.86,-82.86
floor_only,0.3,0.3,0.6,0.6,3.0,S,0.8874,1.6,44.54,44.54
floor_only,0.3,0.3,0.4,0.0,2.0,C,0.8598,0.62,38.68,-38.68
floor_only,0.3,0.3,0.4,0.0,2.5,C,1.0992,0.72,52.67,-52.67
floor_only,0.3,0.3,0.4,0.0,3.0,C,0.3726,0.27,38.0,-38.0
floor_only,0.3,0.3,0.6,0.0,2.0,C,0.8784,0.47,86.89,-86.89
floor_only,0.3,0.3,0.6,0.0,2.5,C,0.9078,1.42,36.07,36.07
floor_only,0.3,0.3,0.6,0.0,3.0,C,0.7842,0.97,19.15,19.15
isotropic,0.45,0.45,0.4,0.4,2.5,S,0.816,0.93,12.26,12.26
isotropic,0.45,0.45,0.4,0.4,3.0,S,0.552,0.7,21.14,21.14
isotropic,0.45,0.45,0.4,0.6,3.0,S,0.8334,1.46,42.92,42.92
isotropic,0.45,0.45,0.6,0.4,3.0,S,1.1952,0.65,83.88,-83.88
isotropic,0.45,0.45,0.6,0.6,3.0,S,1.0854,1.6,32.16,32.16
isotropic,0.45,0.45,0.4,0.0,2.0,C,0.7506,0.62,21.06,-21.06
isotropic,0.45,0.45,0.4,0.0,2.5,C,1.1424,0.72,58.67,-58.67
isotropic,0.45,0.45,0.4,0.0,3.0,C,0.357,0.27,32.22,-32.22
isotropic,0.45,0.45,0.6,0.0,2.0,C,0.7842,0.47,66.85,-66.85
isotropic,0.45,0.45,0.6,0.0,2.5,C,1.0014,1.42,29.48,29.48
isotropic,0.45,0.45,0.6,0.0,3.0,C,0.7164,0.97,26.14,26.14
floor_only,0.45,0.3,0.4,0.4,2.5,S,0.8292,0.93,10.84,10.84
floor_only,0.45,0.3,0.4,0.4,3.0,S,0.558,0.7,20.29,20.29
floor_only,0.45,0.3,0.4,0.6,3.0,S,0.8244,1.46,43.53,43.53
floor_only,0.45,0.3,0.6,0.4,3.0,S,1.1958,0.65,83.97,-83.97
floor_only,0.45,0.3,0.6,0.6,3.0,S,1.086,1.6,32.12,32.12
floor_only,0.45,0.3,0.4,0.0,2.0,C,0.7476,0.62,20.58,-20.58
floor_only,0.45,0.3,0.4,0.0,2.5,C,1.1238,0.72,56.08,-56.08
floor_only,0.45,0.3,0.4,0.0,3.0,C,0.3516,0.27,30.22,-30.22
floor_only,0.45,0.3,0.6,0.0,2.0,C,0.7824,0.47,66.47,-66.47
floor_only,0.45,0.3,0.6,0.0,2.5,C,1.0074,1.42,29.06,29.06
floor_only,0.45,0.3,0.6,0.0,3.0,C,0.7176,0.97,26.02,26.02
isotropic,0.6,0.6,0.4,0.4,2.5,S,0.8298,0.93,10.77,10.77
isotropic,0.6,0.6,0.4,0.4,3.0,S,0.5694,0.7,18.66,18.66
isotropic,0.6,0.6,0.4,0.6,3.0,S,0.8496,1.46,41.81,41.81
isotropic,0.6,0.6,0.6,0.4,3.0,S,1.1742,0.65,80.65,-80.65
