num_modules,req_length,amp_z,amp_y,frequency,num_frames,duration,v_forward_cm_s,v_lateral_cm_s,v_lateral_osc_cm_s,heading_deg,disp_forward_cm,disp_lateral_cm
5,1.14,0.4,0.4,2.5,200,30.0,1.427,0.0,2.7348,-10.91,40.0929,-0.0163
5,1.14,0.4,0.4,3.0,200,30.0,0.8877,-0.0,2.9235,-6.86,24.9043,-0.8168
5,1.14,0.4,0.6,3.0,200,30.0,1.1952,0.0,3.1715,1.84,33.2463,-0.8332
5,1.14,0.6,0.4,2.5,200,30.0,1.4168,-0.0,2.3541,-0.65,39.7957,0.2582
5,1.14,0.6,0.4,3.0,200,30.0,1.9778,0.0,3.0035,-7.5,55.1554,-0.2545
5,1.14,0.6,0.6,3.0,200,30.0,1.4727,0.0,3.2624,-7.09,40.9511,-0.4478
5,1.14,0.4,0.0,2.0,200,30.0,1.4514,-0.0,0.1174,-4.64,40.5323,-0.1387
5,1.14,0.4,0.0,2.5,200,30.0,1.8148,-0.0,0.3104,-8.54,50.8282,-0.2892
5,1.14,0.4,0.0,3.0,200,30.0,0.6202,-0.0,0.0893,-2.54,17.4344,-0.0022
5,1.14,0.6,0.0,2.0,200,30.0,1.4712,-0.0,0.1275,-4.56,41.1823,-0.0755
5,1.14,0.6,0.0,2.5,200,30.0,1.4623,-0.0,0.5101,-18.14,40.6676,0.2644
5,1.14,0.6,0.0,3.0,200,30.0,1.3183,0.0,0.2711,-2.77,36.8639,-0.0309
