t,x,y,z,qw,qx,qy,qz,vx,vy,vz
0.00000000,-0.00004551,-0.00027121,-0.00003381,-0.00582944,-0.99966526,-0.02518948,0.00098459,0.00019196,-0.00076670,0.00028620
0.00499082,-0.00005134,-0.00032806,-0.00004564,-0.00583620,-0.99966496,-0.02519692,0.00098590,0.00030712,-0.00041918,0.00013746
0.00998211,-0.00005840,-0.00039925,-0.00005509,-0.00583431,-0.99966520,-0.02519015,0.00098347,0.00031132,-0.00048742,0.00012374
0.01497293,-0.00006519,-0.00047666,-0.00006479,-0.00583350,-0.99966526,-0.02518826,0.00098415,0.00031595,-0.00056333,0.00010677
0.01996279,-0.00007139,-0.00056658,-0.00007110,-0.00582629,-0.99966532,-0.02518919,0.00098381,0.00032093,-0.00064543,0.00009131
0.02495384,-0.00007745,-0.00065973,-0.00007784,-0.00581978,-0.99966496,-0.02520107,0.00098255,0.00032630,-0.00073483,0.00007487
0.02994466,-0.00008326,-0.00075895,-0.00008330,-0.00582386,-0.99966496,-0.02520051,0.00099363,0.00033190,-0.00082867,0.00005893
0.03493619,-0.00001822,-0.00035998,-0.00001104,-0.00581830,-0.99966520,-0.02519324,0.00099040,0.00028061,-0.00023432,0.00009203
0.03992724,-0.00001790,-0.00044390,-0.00001092,-0.00581413,-0.99966538,-0.02518508,0.00100414,0.00028431,-0.00029135,0.00007010
0.04491687,-0.00001727,-0.00053509,-0.00001099,-0.00581825,-0.99966544,-0.02518349,0.00101467,0.00028819,-0.00035120,0.00004799
0.04990792,-0.00001648,-0.00063310,-0.00000722,-0.00581479,-0.99966580,-0.02517082,0.00100685,0.00029229,-0.00041547,0.00002762
0.05489898,-0.00001546,-0.00073407,-0.00000970,-0.00582132,-0.99966568,-0.02517460,0.00101476,0.00029501,-0.00048374,0.00001246
0.05989003,-0.00001419,-0.00084097,-0.00000923,-0.00581958,-0.99966562,-0.02517478,0.00101061,0.00029827,-0.00055830,-0.00000428
0.06488109,-0.00001452,-0.00094984,-0.00000798,-0.00580208,-0.99966544,-0.02518581,0.00100032,0.00030137,-0.00063836,-0.00001906
0.06987190,0.00001070,-0.00037443,0.00004252,-0.00581296,-0.99966574,-0.02517213,0.00099385,0.00031859,-0.00029050,0.00012899
0.07486296,0.00001197,-0.00045681,0.00004704,-0.00581162,-0.99966568,-0.02517586,0.00100144,0.00032488,-0.00035685,0.00011409
0.07985306,0.00001299,-0.00054427,0.00005103,-0.00580822,-0.99966604,-0.02516354,0.00099238,0.00033148,-0.00042951,0.00010043
0.08484411,0.00001348,-0.00063043,0.00004306,-0.00581280,-0.99966574,-0.02517498,0.00099366,0.00033837,-0.00050832,0.00008715
0.08983517,0.00001404,-0.00072893,0.00004215,-0.00582544,-0.99966580,-0.02516961,0.00099073,0.00034550,-0.00059221,0.00007333
0.09482598,0.00001437,-0.00083297,0.00004037,-0.00582535,-0.99966574,-0.02517023,0.00099459,0.00035291,-0.00068226,0.00006011
