t,x,y,z,qw,qx,qy,qz,vx,vy,vz
0.0005,0.014531094,0.033146847,0.08,2.2414272e-15,-0.70710678,2.2414272e-15,0.70710678,0,0,0
0.0105,0.01452867,0.033194794,0.079509126,0.00024928387,-0.70651671,0.00025174654,0.70769627,-0.001029213,0.008598107,-0.094237946
0.0205,0.014525881,0.033313019,0.078057015,0.00084322951,-0.70517003,0.00085553022,0.70903723,-0.0013698681,0.014297208,-0.19177484
0.0305,0.014527134,0.033475907,0.075619461,0.0016340822,-0.70344703,0.0016670724,0.71074386,-0.0012375703,0.017739323,-0.29100611
0.0405,0.014537235,0.03363626,0.072205964,0.0024744302,-0.70178411,0.0025458568,0.71238084,-0.00057145419,0.014558012,-0.38711224
0.0505,0.014556268,0.033766598,0.067822583,0.0032639496,-0.70037905,0.003398073,0.71375555,5.0268806e-05,0.011749523,-0.48461201
0.0605,0.014580798,0.033869968,0.062458705,0.0039710304,-0.69918699,0.0041891425,0.71491554,0.00057615726,0.0091885346,-0.58294405
0.0705,0.014611945,0.033926787,0.056102511,0.004534638,-0.6984529,0.0048579318,0.71562517,0.0012120393,0.0029390504,-0.68266653
0.0805,0.014624497,0.033928141,0.04867135,0.0047717366,-0.69830304,0.0054983258,0.71576523,-0.01301078,-0.00034840772,-0.82345369
0.0905,0.014539565,0.033925271,0.04231286,0.005176492,-0.69901756,0.0057403124,0.71506273,-0.00220569,0.0017044051,-0.35100511
0.1005,0.01463732,0.033981598,0.040691161,0.0058211468,-0.70057508,0.0061895823,0.7135281,0.0075726907,0.0050290297,-0.036968431
0.1105,0.014792139,0.034019969,0.041037786,0.0063936307,-0.70226825,0.0066925421,0.71185225,0.010497491,0.0040980178,0.07881358
0.1205,0.014958782,0.034075336,0.042011013,0.0070152855,-0.70377111,0.0072992453,0.71035466,0.010145298,0.006660599,0.1052451
0.1305,0.01515331,0.034159808,0.042993285,0.0077941469,-0.70525136,0.0080957461,0.70886827,0.013945296,0.009854737,0.090012579
0.1405,0.015382385,0.034263011,0.043787838,0.0086997985,-0.70676742,0.0090420636,0.7073347,0.015674714,0.01076107,0.069979461
0.1505,0.015622935,0.034367784,0.044384358,0.0096316764,-0.70822635,0.010026643,0.70584852,0.016227248,0.010439374,0.05081172
0.1605,0.015896263,0.034476363,0.044769458,0.010622814,-0.70975046,0.011077389,0.70428597,0.020856077,0.011423246,0.028686874
0.1705,0.016208544,0.034587929,0.044963329,0.011665469,-0.71138809,0.012186743,0.70259688,0.022996692,0.011403881,0.011228777
0.1805,0.016532426,0.034698815,0.044999665,0.012644639,-0.71307884,0.013317966,0.70084329,0.023626467,0.011516226,-0.0019733511
0.1905,0.016857716,0.034663002,0.044844462,0.013245674,-0.71496642,0.014268621,0.69888767,0.025640432,-0.029238697,-0.025857997
0.2005,0.017138886,0.034105373,0.044455416,0.012772372,-0.71717351,0.014249331,0.69663188,0.025422972,-0.076017547,-0.047485919
0.2105,0.017374215,0.033165639,0.043883995,0.011605053,-0.71959806,0.013365907,0.69416519,0.024273557,-0.10836423,-0.064340382
0.2205,0.017582064,0.031921721,0.043204174,0.01016495,-0.72217683,0.011653968,0.6915356,0.026064719,-0.13729604,-0.070751781
0.2305,0.01778513,0.030467019,0.042498918,0.0084478641,-0.72476445,0.0094057125,0.68888072,0.027177089,-0.15236948,-0.073747316
0.2405,0.017984756,0.028916785,0.041793931,0.0065311573,-0.7272687,0.0068668112,0.68628742,0.028567128,-0.15762131,-0.070808321
0.2505,0.018220308,0.02757,0.041457863,0.0052708339,-0.72898726,0.0050340426,0.68448846,0.02997334,-0.11566004,-0.0046405643
0.2605,0.018506261,0.026562693,0.04160899,0.0051385524,-0.72977854,0.0040291763,0.68365243,0.029987811,-0.084562375,0.02193153
0.2705,0.018791473,0.0260539,0.041849432,0.0053726116,-0.73041053,0.0033711269,0.68297893,0.027064989,-0.025395015,0.020131451
0.2805,0.019072434,0.026061745,0.042041288,0.005454811,-0.73097619,0.0030996055,0.68237413,0.028224751,0.019944612,0.016863563
0.2905,0.019368413,0.026467943,0.042045585,0.0054002611,-0.73169243,0.0031293108,0.68160636,0.028478586,0.054736899,1.5245759e-05
0.3005,0.019610315,0.027126013,0.042053584,0.0052824121,-0.73212019,0.0032605898,0.68114718,0.018804616,0.077956153,-0.0067361848
0.3105,0.01976962,0.028000114,0.042049235,0.0052899348,-0.73219562,0.0034834198,0.68106495,0.012729391,0.098534259,-0.0050970277
0.3205,0.019884823,0.029044097,0.042052961,0.0054893153,-0.73200237,0.0037244167,0.68126979,0.0093746775,0.10849142,0.0063854339
0.3305,0.019988585,0.030209625,0.042026761,0.0057988424,-0.73171503,0.0040297093,0.6815741,0.0091587964,0.12166912,-0.0065120503
0.3405,0.020086913,0.03140943,0.042028166,0.0060983189,-0.73128131,0.0043562023,0.68203481,0.011203165,0.11979563,0.0033508999
0.3505,0.020235869,0.032624496,0.042011523,0.0063927265,-0.73089868,0.0047283863,0.68243967,0.012199096,0.11971873,-0.00091592552
0.3605,0.020332008,0.033786251,0.041995966,0.0067302598,-0.73042712,0.0050460606,0.68293884,0.0062338334,0.11283008,-0.0026524064
0.3705,0.020380183,0.03485113,0.041963169,0.0068687306,-0.72987098,0.0054661804,0.68352856,0.0028168834,0.099901155,-0.0069342563
0.3805,0.020408332,0.035803331,0.041913373,0.007004978,-0.7292492,0.0058218157,0.68418758,0.0022922507,0.09036081,-0.00056648481
0.3905,0.020434061,0.036667381,0.04188455,0.0072624184,-0.72864418,0.0060135479,0.68482754,0.0031164117,0.08184083,-0.0015929912
0.4005,0.020469805,0.037442985,0.041829311,0.0071679041,-0.72809655,0.0063933607,0.6854073,0.0030350568,0.073752558,-0.0064056633
