t,x,y,z,qw,qx,qy,qz,vx,vy,vz
0.0005,0.014531094,0.033146847,0.08,2.2414272e-15,-0.70710678,2.2414272e-15,0.70710678,0,0,0
0.0105,0.014522619,0.033172461,0.079484059,5.0227903e-05,-0.70667725,4.4439593e-05,0.70753605,-0.00060312324,0.0045265193,-0.098004174
0.0205,0.014503215,0.033233379,0.077997224,0.00017269429,-0.70565733,0.00015298341,0.70855323,-0.00087523561,0.0072268309,-0.19458285
0.0305,0.014478454,0.033314041,0.075548236,0.00033661926,-0.70429179,0.0002980662,0.70991047,-0.00090948314,0.0085951198,-0.29065934
0.0405,0.014456571,0.033412574,0.072113268,0.00058728226,-0.70279959,0.00052697928,0.71138746,-0.00082721856,0.010664342,-0.39140087
0.0505,0.014441359,0.03352429,0.067677411,0.00092856283,-0.70132132,0.0008433101,0.71284418,-0.00064954116,0.011358241,-0.49100414
0.0605,0.014430844,0.033637635,0.06224984,0.0012999147,-0.69990337,0.0011867449,0.71423538,-0.00043804864,0.011083579,-0.58985498
0.0705,0.014427868,0.033754657,0.055815687,0.0017303004,-0.69861686,0.001585465,0.71549212,-0.00025577767,0.011927776,-0.69198659
0.0805,0.014432907,0.033874006,0.048368018,0.0022169727,-0.69750138,0.0020358902,0.71657712,-6.3793316e-05,0.011662197,-0.79268711
0.0905,0.014427025,0.033978026,0.040631592,0.0026689258,-0.69881579,0.0024375266,0.71529254,-0.007191792,0.0050385603,-0.56127725
0.1005,0.014426518,0.033997281,0.037660046,0.0029345406,-0.69990698,0.0026713521,0.71422299,-0.0014836674,0.00090614436,-0.11993396
0.1105,0.01442135,0.034010859,0.037488732,0.0031493641,-0.69974837,0.0028627633,0.71437673,-0.0016131436,0.0016258381,0.047752119
0.1205,0.014400508,0.034029311,0.038284272,0.0033434858,-0.69906578,0.0030385923,0.71504309,-0.0021415148,0.0019421319,0.096645246
0.1305,0.014368571,0.034079647,0.039479046,0.0035565237,-0.69767434,0.0032174191,0.71639899,-0.0017309278,0.00710998,0.13304426
0.1405,0.014322852,0.034169645,0.040865039,0.0037893648,-0.69549027,0.0033993016,0.71851748,-0.001955608,0.01040664,0.13980851
0.1505,0.014265679,0.034285948,0.04223994,0.0040171165,-0.69286402,0.0035740123,0.72104822,-0.0023826362,0.012383284,0.13318868
0.1605,0.014221095,0.034430558,0.043455719,0.004118799,-0.6907206,0.0036440971,0.72310083,-0.00020258253,0.016041916,0.1106067
0.1705,0.014199833,0.034605847,0.044455557,0.0040634202,-0.68945887,0.003585178,0.72430457,0.00085679529,0.018722321,0.090451259
0.1805,0.014191228,0.034803187,0.04526949,0.0039308203,-0.68876642,0.0034626479,0.7249644,0.0012970928,0.02047014,0.073576444
